                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.65884,                0.86995,                0.86951,                 1.1623,                0.19827,                    0.2,                0.22915,                0.18831,                0.19827,                    0.2,                0.22915,                0.19977,                0.51182,                0.58524,                 5.2501,                 1.2005,             0.00040707,             0.00040707,             0.00040707
                     35,                0.64342,                0.88296,                0.83631,                 1.1223,                0.19826,                    0.2,                0.24875,                0.20749,                0.19826,                    0.2,                0.24875,                0.22289,                0.56677,                0.58746,                  5.393,                 1.2971,             0.00038507,             0.00038507,             0.00038507
                     36,                0.66245,                0.86848,                0.81159,                 1.1252,                0.19817,                    0.2,                0.24226,                0.20809,                0.19817,                    0.2,                0.24226,                0.21493,                0.53945,                0.60378,                 5.1455,                 1.2248,             0.00036307,             0.00036307,             0.00036307
                     37,                0.66687,                0.87181,                0.82848,                 1.1375,                0.19819,                    0.2,                0.23454,                0.20502,                0.19819,                    0.2,                0.23454,                0.20923,                0.49891,                 0.5911,                  5.208,                 1.1645,             0.00034108,             0.00034108,             0.00034108
                     38,                0.59257,                0.86298,                0.71905,                 1.0846,                0.19821,                    0.2,                 0.2388,                0.21144,                0.19821,                    0.2,                 0.2388,                0.21277,                0.46688,                0.61145,                 5.2041,                 1.1432,             0.00031908,             0.00031908,             0.00031908
                     39,                0.57953,                0.91687,                0.71682,                 1.0947,                0.19826,                    0.2,                0.24638,                0.21445,                0.19826,                    0.2,                0.24638,                 0.2215,                0.47691,                0.57721,                 5.2942,                 1.1529,             0.00029708,             0.00029708,             0.00029708
                     40,                 0.6146,                 0.9072,                0.80512,                 1.1158,                0.19829,                    0.2,                0.24875,                0.22108,                0.19829,                    0.2,                0.24875,                0.22235,                0.47349,                0.59274,                 5.1691,                 1.1722,             0.00027508,             0.00027508,             0.00027508
                     41,                0.48966,                0.61757,                0.49536,                   1.16,                0.19823,                    0.2,                0.22451,                0.19272,                0.19823,                    0.2,                0.22451,                0.20151,                0.51252,                0.60029,                 5.4892,                 1.1879,             0.00025309,             0.00025309,             0.00025309
                     42,                0.46764,                0.60561,                0.48342,                 1.1412,                 0.1982,                    0.2,                0.20797,                0.18643,                 0.1982,                    0.2,                0.20797,                0.18897,                0.53917,                0.60004,                 5.8093,                 1.2113,             0.00023109,             0.00023109,             0.00023109
                     43,                 0.4629,                0.57872,                0.44654,                 1.1574,                0.19826,                    0.2,                0.21748,                0.19049,                0.19826,                    0.2,                0.21748,                0.19574,                 0.5184,                0.60674,                 5.9952,                 1.1864,             0.00020909,             0.00020909,             0.00020909
                     44,                0.45872,                 0.5752,                0.45738,                 1.1423,                 0.1983,                    0.2,                  0.199,                0.17552,                 0.1983,                    0.2,                  0.199,                 0.1791,                0.49251,                0.60336,                 5.7896,                 1.1763,             0.00018709,             0.00018709,             0.00018709
                     45,                0.43972,                0.59385,                0.40927,                 1.0529,                 0.1997,                0.23756,                0.29283,                0.27026,                 0.1997,                0.23756,                0.29283,                0.26354,                0.47399,                0.58741,                 5.6065,                 1.1454,             0.00016509,             0.00016509,             0.00016509
                     46,                0.44598,                0.56639,                0.39749,                 1.1098,                0.19983,                0.23771,                0.30285,                0.27653,                0.19983,                0.23771,                0.30285,                0.27257,                0.49489,                0.58131,                 5.6234,                 1.1504,              0.0001431,              0.0001431,              0.0001431
                     47,                 0.4367,                0.57628,                0.38893,                 1.1337,                0.19996,                0.23783,                0.27265,                0.24592,                0.19996,                0.23783,                0.27265,                0.24539,                0.51206,                0.57501,                 5.9889,                 1.1691,              0.0001211,              0.0001211,              0.0001211
                     48,                0.40594,                0.56184,                0.35857,                 1.0641,                0.17818,                    0.4,                0.26581,                0.23987,                0.17818,                    0.4,                0.26581,                0.23987,                 0.4901,                0.57262,                 6.0922,                 1.1527,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.39539,                0.55166,                0.37826,                 1.0568,                0.19827,                    0.2,                0.20675,                0.18608,                0.19827,                    0.2,                0.20675,                0.18608,                0.51803,                0.57188,                 6.0753,                 1.1874,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.41756,                0.56052,                0.38084,                 1.0947,                0.19826,                    0.2,                 0.2081,                0.18729,                0.19826,                    0.2,                 0.2081,                0.18729,                0.52053,                0.57528,                 5.9402,                 1.1941,             5.5106e-05,             5.5106e-05,             5.5106e-05
